"id","title","type","publication_date","publication_year","is_oa","oa_status","doi","issn","issn_l","publisher","author_institution_id","author_institution_ror","author_institution_raw"
"https://openalex.org/W4200035428","Handbook of Random Forests","monograph","2023-02-01",2023,FALSE,"closed","https://doi.org/10.1142/10552","2010-2143","2010-2143","","https://openalex.org/I4577782","https://ror.org/03v4gjf40","Technische Universität BerlinGermany"
"https://openalex.org/W4288269695","Persistent Identification and Interlinking of FAIR Scholarly Knowledge","proceedings","2022-09-07",2022,FALSE,"","https://doi.org/10.5281/zenodo.6912480","","","","https://openalex.org/I114112103|https://openalex.org/I114112103|https://openalex.org/I114112103","https://ror.org/0304hq317|https://ror.org/0304hq317|https://ror.org/0304hq317","Leibniz University Hannover|Leibniz University Hannover|Leibniz University Hannover"
"https://openalex.org/W4289260064","Mapping Metadata - Improving Dataset Discipline Classification","proceedings","2022-09-07",2022,FALSE,"","https://doi.org/10.5281/zenodo.6948238","","","","https://openalex.org/I153718931|https://openalex.org/I153718931|https://openalex.org/I32021983|https://openalex.org/I4210145204|https://openalex.org/I39343248|https://openalex.org/I102335020||https://openalex.org/I159129438","https://ror.org/03c4mmv16|https://ror.org/03c4mmv16|https://ror.org/04v76ef78|https://ror.org/04wxnsj81|https://ror.org/01hcx6992|https://ror.org/04t3en479||https://ror.org/002rjbv21","University of Ottawa|University of Ottawa|Kiel University|DataCite|Humboldt-Universität zu Berlin|Karlsruhe Institute of Technology (KIT) Library|Leibniz Information Center for Economics & Kiel University|University of Ottawa; Université du Québec à Montréal"
"https://openalex.org/W4291413695","Harmonic Analysis on Hypergroups","monograph","2022-08-14",2022,FALSE,"closed","https://doi.org/10.1142/13138","1793-1169","1793-1169","","https://openalex.org/I62916508","https://ror.org/02kkvpp62","Technical University of MunichGermany"
"https://openalex.org/W4292463463","Designing a Virtual 3D Environment for Learning near the Workplace in SME","proceedings","2022-08-09",2022,FALSE,"","https://doi.org/10.5281/zenodo.6977554","","","","https://openalex.org/I102335020|https://openalex.org/I102335020|https://openalex.org/I102335020|https://openalex.org/I176453806","https://ror.org/04t3en479|https://ror.org/04t3en479|https://ror.org/04t3en479|https://ror.org/03bnmw459","Karlsruhe Institute of Technology KIT, Institute of Vocational and General Education|Karlsruhe Institute of Technology KIT, Institute of Vocational and General Education|Karlsruhe Institute of Technology KIT, Institute of Vocational and General Education|University of Potsdam, LSWI/Chair of Business Informatics, Processes & Systems"
"https://openalex.org/W4290667749","In-Depth Hyperparameter Selection For Layer-Wise Relevance Propagation","dissertation","2022-08-05",2022,FALSE,"","https://doi.org/10.5281/zenodo.6972407","","","","https://openalex.org/I4577782","https://ror.org/03v4gjf40","TU Berlin"
"https://openalex.org/W4289518253","Documentation of epistemic metadata by a mid-level ontology of cognitive processes","proceedings","2022-08-02",2022,FALSE,"","https://doi.org/10.5281/zenodo.6952672","","","","https://openalex.org/I54108979|https://openalex.org/I100066346","https://ror.org/04a1mvv97|https://ror.org/04vnq7t77","Norwegian University of Life Sciences|University of Stuttgart"
"https://openalex.org/W4288385502","Supporting and Verifying Transient Behavior Specifications in Chaos Engineering - Supplementary Materials","dissertation","2022-07-28",2022,FALSE,"","https://doi.org/10.5281/zenodo.6845089","","","","https://openalex.org/I100066346","https://ror.org/04vnq7t77","University of Stuttgart"
"https://openalex.org/W4286945572","Cost Accounting","book","2022-07-24",2022,FALSE,"","https://doi.org/10.1142/13100","","","","||https://openalex.org/I100066346|https://openalex.org/I62916508","||https://ror.org/04vnq7t77|https://ror.org/02kkvpp62","University of MunichGermany|University of MunichGermany|University of StuttgartGermany|Technical University of MunichGermany"
"https://openalex.org/W4287578824","Introducing LexMeta: A Metadata Model for Lexical Resources","proceedings","2022-07-24",2022,FALSE,"","https://doi.org/10.5281/zenodo.6897062","","","","https://openalex.org/I169108374|https://openalex.org/I4210098364|https://openalex.org/I94509681","https://ror.org/000xsnr85|https://ror.org/00z24kr14|https://ror.org/010nsgg66","UPV/EHU University of the Basque Country|Institute for Language and Speech Processing (ILSP)/Athena R. C.|TU Braunschweig, University Library"
